Start Time,End Time,EN,ES,Highlight,Comments,Speaker
00:04,00:10,"We need you to tell us about jawapi (traditional medicine)
What pregnant women and sick people take","Necesitamos que nos digas sobre el jawapi (medicina tradicional)
Lo que toman las embarazadas, y los enfermos",,,palabrero luis
00:16,00:20,I'm going to talk about our life,Les voy a hablar sobre nuestra vida,,,palabrero luis
00:23,00:32,"My name is Luis angel from eirüku (family lineage) “uriana”
I am from here","Mi nombre es Luis ángel del eirüku (linaje familiar) uriana
soy de aquí",,,palabrero luis
00:42,00:46,Our life in the past from which we grew,Nuestra vida en el pasado de la cual crecimos,,,palabrero luis
00:52,00:57,"was immersed in medicinal plants
thanks to our grandparents and uncles","Estuvo inmersa en las plantas medicinales
gracias a nuestros abuelos y tíos",,,palabrero luis
01:15,01:21,"Everything you see here on earth is very important.
For the Wayuu culture","Todo lo que ven aquí en la tierra es muy importante
Para la cultura wayuu",,,palabrero luis
01:40,01:45,"All the plants that you see here serve as food
And medicine for us","Todas las plantas que ven aquí sirven como alimento
Y medicina para nosotros",,,palabrero luis
01:46,01:48,We eat the fruits of teasel and trupillo (a kind of mesquite),Comemos los frutos del cardón y del trupillo,,,palabrero luis
02:10,02:15,"Being pütchipü (community mediator)
has allowed me to understand, comprehend","Ser pütchipü me ha permitido entender, comprender",,,palabrero luis
02:16,02:20,and resolve conflicts between different families,y resolver los conflictos entre diferentes familias,,,palabrero luis
02:21,02:27,Through dialogue and listening to the problem,Por medio del diálogo y la escucha del problema,,,palabrero luis
02:58,03:03,"All the plants you just saw, we use it
To ease the pain of our body","Todas las plantas que acaban de ver, lo utilizamos
Para aliviar el dolor de nuestro cuerpo",,,palabrero luis
03:04,03:11,"To ease the pain of our body after
to graze or work","Para aliviar el dolor de nuestro cuerpo después
de pastorear o trabajar",,,palabrero luis
03:10,03:14,"Plants protect us from the sun, that's why we consume it.",Las plantas nos protegen de sol por eso lo consumimos,,,palabrero luis
03:42,03:47,And what is the role you have in conflicts as a mediator?,¿Y cuál es el papel que tiene usted en los conflictos como palabrero?,,,palabrero luis
03:57,04:03,"I am the one who should speak to give you a solution
to the problem or conflict","Yo soy el que debo hablar para darle una solución
Al problema o al conflicto",,,palabrero luis
04:04,04:09,"So that there can be respect
And a healthy coexistence between us","Para que pueda haber un respeto
Y una sana convivencia entre nosotros",,,palabrero luis
04:28,04:32,"Now let's talk about a topic I've been talking about
in other communities","Ahora hablemos de un tema que he venido hablando
En otras comunidades",,,palabrero luis
04:33,04:37,It is about the wind turbines where there is an active conflict,Es sobre los aerogeneradores en donde hay un conflicto activo,,,palabrero luis
04:38,04:41,Does the mediator have an important role in this conflict?,¿El palabrero tiene un papel importante en ese conflicto?,,,palabrero luis
04:43,04:47,The role of the mediator is neutral,El papel de el palabrero es neutro,,,palabrero luis
06:47,06:50,What else did they give you when you started to be a mediator?,¿Qué más te daban cuando empezaste a ser un palabrero?,,,palabrero luis
06:51,06:55,I took the medicinal plants that my grandmother gave me,Tomaba las plantas medicinales que me daba mi abuela,,,palabrero luis
06:57,07:02,"So that my word would carry weight and respect when
resolving a problem","Para que mi palabra tenga peso y respeto al momento
De arreglar un problema",,,palabrero luis
07:03,07:09,"My body is very strong no matter if
I’m under great pressure from a group of people","Mi cuerpo es muy fuerte no importa si me encuentro
En una grande presión por parte de un grupo de personas",,,palabrero luis
07:10,07:13,It prepares me to have a good oratory when speaking,Me prepara para tener una buena oratoria al momento de hablar,,,palabrero luis
07:27,07:31,"Now something you want to tell us
Or some message for the people of the world","Ahora algo que nos quieran contar
O algún mensaje para las personas del mundo",,,palabrero luis
07:42,07:46,Good for you gringos who come from afar,Bueno para ustedes los gringos que vienen de lejos,,,palabrero luis
07:47,07:51,I like to show you part of my customs and beliefs,Me gusta mostrarles parte de mis costumbres y creencias,,,palabrero luis
07:52,07:54,I feel happy to see you come from afar,Me siento feliz por verlos venir de lejos,,,palabrero luis
07:56,07:59,Despite not knowing where you come from,A pesar de no conocer de dónde vienen ustedes,,,palabrero luis
08:00,08:06,"My life consists of dialoguing and speaking for others
In times of conflict","Mi vida consiste en dialogar y hablar por los demás
En momentos de conflicto",,,palabrero luis
08:07,08:10,Watch over my relatives as a mediator,Velar por mis familiares como palabrero,,,palabrero luis
08:11,08:14,"I am here to help my friends, nephews and grandchildren
If they get to fight","Estoy para ayudar a mis amigos, sobrinos y nietos
Si llegan a pelearse",,,palabrero luis
08:15,08:20,"To give them a solution to your problem
I am always ready to speak for them","Para darle una solución a su problema
Siempre estoy listo para hablar por ellos",,,palabrero luis
08:25,08:30,"What I don't know about you gringos,
is to speak your language and your life","Lo que si no se de ustedes los gringos,
es hablar su idioma y la vida de ustedes",,,palabrero luis
08:40,08:42,In the future I will come to help you,En el futuro vendré a ayudarte,,,palabrero luis
08:43,08:45,that seems good to me,Eso me parece bien,,,palabrero luis
08:46,08:49,Because I have my grandchildren who are suffering,Porque tengo a mis nietos que están sufriendo,,,palabrero luis
08:50,08:53,Because we don't have a job to survive,Porque no tenemos un trabajo para sobrevivir,,,palabrero luis
09:22,09:26,please tell us your name again,Por favor dinos tu nombre otra vez,,,palabrero luis
09:39,09:43,I am going to tell you my name so that you know me,Les voy a decir mi nombre para que ustedes me conozcan,,,palabrero luis
09:44,09:48,They call me Luis angel uriana,Me dicen Luis ángel uriana,,,palabrero luis
09:50,09:55,My eirüku (family lineage) is represented by the rabbit (uriana),Mi eirüku (linaje familiar) es representado por el conejo(uriana),,,palabrero luis
09:56,09:59,Thank you thank you very much,Gracias muchas gracias,,,palabrero luis
