Start Time,End Time,English,Spanish
"00:00,000","00:02,000",Where are you from Neko?,¿De dónde eres Neko?
"00:03,000","00:06,000",I am from a territory called Akualü,Soy de un territorio llamado Akualü
"00:07,000","00:10,000",Although the elders call it Manaure,Aunque los mayores lo denominan Manaure
"00:11,000","00:16,000","Ah, you came from the wild west and now you're here","Ah, vienes del lejano oeste y ahora estas aquí"
"00:18,000","00:21,000",In Nazareth or township of Nazareth as they call it,En Nazareth o corregimiento de Nazareth como le dicen
"00:22,000","00:30,000","We are in the territory of Usijou´, in Alewalü.
I don't know if you've heard that it's a sacred place.","Estamos en el territorio de Usijou´, en Alewalü.
No se si has escuchado de que es un lugar sagrado."
"00:31,000","00:36,000","Yes, it is the only one with some characteristics
different natural","Si, es el único con unas características 
naturales diferentes"
"00:39,000","00:45,000",Yes of course. My grandmother and my mother's grandmother were from here.,Si claro. De aquí era mi abuela y la abuela de mi mamá
"00:47,000","00:51,000","Where is the sea? If over there, from here you can see the sea","¿Por dónde está el mar? si por allá, de aquí se ve el mar"
"00:52,000","00:56,000","Yes it's true.
Yes, they lived here","Si es verdad. 
Si, ellos vivían aquí"
"00:57,000","01:01,000","But is the sea far from here? Yes, it's far away.","¿pero el mar esta lejos de aquí? Si, está lejos."
"01:02,000","01:09,000","They said they moved, they had left their
things as you can see","Ellos dijeron que se mudaron, habían dejado sus 
cosas como puedes ver"
"01:10,000","01:18,000","There where the pieces of amuchi (ceramics) are,
are their ancestral remains (bone)","Ahí donde están los trozos de amuchi (cerámica), 
están sus restos (hueso) ancestrales"
"01:19,000","01:27,000","They decided to go to the seashore because
They say they were already bored here","Ellos decidieron irse para la orilla del mar porque 
dicen que ya estaban aburridos aquí"
"01:28,000","01:33,000","Then they left, but they came back again. Yeah. right here","Entonces se fueron, pero regresaron otra vez. Si. Acá mismo"
"01:35,000","01:42,000","This was what you were talking about, right? Yeah.
I can touch it? No. It is prohibited","Esto era de lo que hablabas ¿no? Si. 
¿puedo tocarlo? No. Esta prohibido"
"01:43,000","01:49,000","You can't touch it, you can only see it. If you touch it
you can get sick","No lo puedes tocar, solo puedes verlo. Si lo tocas 
te puedes enfermar"
"01:51,000","01:50,000","When you touch it you take away the energies of the dead
that can cause you some harm","Al tocarlo te llevas las energías de los muertos 
que te pueden provocar algún daño"
"02:00,000","02:02,000",Same with your arrival here,Igual con tu llegada aquí
"02:03,000","02:09,000","TRUE. You had to harmonize with the territory because we
surround the souls of those who lived here","Cierto. Debiste armonizar con el territorio porque nos 
rodean las almas de los que vivían aquí"
"02:10,000","02:18,000","This belonged to them right? Yes, that's why their souls
They are here because those are their belongings.","¿Esto pertenecía a ellos no? Si, por eso sus almas 
están aquí porque esas son sus pertenencias"
"02:21,000","02:28,000","This was their territory and they said that no one can
take part of this sand","Este era su territorio y ellos decían que nadie puede 
llevarse parte de esta arena"
"02:29,000","02:36,000","Then we, the Pausayu, arrived to inhabit it.",Después llegamos nosotros los Pausayu para habitarlo
"02:37,000","02:40,000",I understand. And what did they bring from the sea?,Entiendo. Y ¿Qué fue lo que trajeron del mar?
"02:41,000","02:46,000","The sand, they threw it here so that it would stay like this","La arena, ellos lo echaban aquí para que quedara así"
"02:47,000","02:53,000","That is, they brought the sand from the beach in
this desert piece","Es decir, que ellos traían la arena de la playa en 
este pedazo desértico"
"02:56,000","03:03,000","The old people say that through a dream they were told
to bring the sand from there","Dicen los viejos que a través de un sueño les dijeron 
que trajeran la arena de allá"
"03:04,000","03:07,000","I'm telling you so you can say it, this part
then they cut it","Te lo digo para que lo digas, esta parte
después lo cortan"
"03:08,000","03:12,000","Guille said that in the dream they were told
the next","Guille decía que en el sueño a ellos les dijeron 
lo siguiente"
"03:13,000","03:18,000","That, if they loved this land so much, they could bring the
earth up to here","Que, si amaban tanto esta tierra, podían traer la 
tierra hasta acá"
"03:19,000","03:26,000",and that's what they did. This is how this place originated,y eso hicieron. Así es como se origino este lugar
"03:27,000","03:34,000","You could say that. That started from a dream
and so on","Podrías decir eso. Que comenzó desde un sueño
y así sucesivamente"
"03:39,000","03:48,000","So they brought him here, right? Yeah.
They brought it little by little until it spread","Entonces lo trajeron aquí ¿no? Si. 
Lo traían poco a poco hasta que se iba extendiendo"
"03:49,000","03:58,000","As you can see this before this was small, but after
They expanded it up to there","Como puedes ver esto antes esto era pequeño, pero después 
lo fueron ampliando hasta por allá"
"03:59,000","04:05,000","Yes, now I understand. How nice to know the history
behind this","Si, ahora comprendo. Que lindo conocer la historia
detrás de esto"
"04:06,000","04:10,000","Yes of course, in fact, all this that is here
It's also beautiful","Si claro, de hecho, todo esto que está aquí 
también es bello"
"04:13,000","04:21,000","Yeah. It is very good to make known what
we have because it is part of our Wayuu culture","si. Es muy bueno dar a conocer lo que 
tenemos porque es parte de nuestra cultura wayuu"
"04:22,000","04:29,000","You will already know that this place exists in La Guajira, Alewalü
will be recognized by the world","Ya sabrán que en La Guajira existe este lugar, Alewalü 
será reconocida por el mundo"
"04:30,000","04:37,000","Through stories like these you will learn not only
the place but its spirituality","A través de historias como estas conocerán no solo 
el lugar sino su espiritualidad"
"04:38,000","04:45,000","Since there are also many jewels of
the deceased","Ya que aquí también se encuentran muchas joyas de 
los fallecidos"
"04:46,000","04:52,000","That is why it is a sacred place because here are the
things from those who created it","Por eso es un lugar sagrado porque aquí están las 
cosas de los que la crearon"
"04:55,000","05:03,000","People say that here in the north is where
are the most sacred places","Las personas dicen que aquí en el norte es donde 
están los lugares más sagrados"
"05:04,000","05:07,000",And that is why it is important to make them known. Yes of course.,Y por eso es importante darlos a conocer. Si claro.
"05:08,000","05:15,000","Well, thank you very much for what you shared with us.
Anyway, thanks to you for coming,","Bueno, muchas gracias por lo que nos compartiste. 
Igual gracias a ti por venir,"
"05:16,000","05:20,000",For coming from so far to know our territory,Por venir desde tan lejos para conocer nuestro territorio
"05:22,000","05:29,000","After winter it doesn't bloom here? No,
Does it stay like this? Yes of course, it gets wet and that's it","¿Después del invierno no florece aquí? No, 
¿se queda así? Si claro, se moja y ya"
"05:30,000","05:38,000","The animals walk and do not get their paws wet.
You see there is no grass. No.","los animales caminan y no se mojan las patas. 
Ves que no hay pasto. No."
"05:39,000","05:45,000","And if it rains a lot? It may rain a lot but still
It does not bloom because it is a sacred place","Y si ¿llueve mucho? Puede que llueva mucho pero igual 
no florece porque es un lugar sagrado"
"05:46,000","05:47,000",The territory is sacred,El territorio es sagrado
"05:48,000","05:55,000","That was destined. Yes, that's why they were created
ancestors who saw here","Eso estaba destinado. Si, por eso los crearon los 
ancestros que vieron aquí"
"05:56,000","06:02,000","People who come to Nazareth say that their
ancestors are from here too","Las personas que vienen a Nazareth dicen que sus 
ancestros son de aquí también"
"06:03,000","06:11,000","Those from Dusakawi (health association) said that their
grandmothers told them that they have ancestors here","Los de Dusakawi (asociación en salud), dijeron que sus 
abuelas les dijeron que tienen ancestros acá"
"06:14,000","06:22,000","They say they will come back here again.
Yes, that's OK","Ellos dicen que volverán otra vez por aquí. 
Si, eso está bien"
"06:23,000","06:31,000","I think it's good that they come again so that
learn more, we make you climb the mountains","Me parece bien que vengan de nuevo para que 
conozcan más, los hacemos subir a las montañas"
"06:32,000","06:39,000","Yes, we have to arrive earlier, look, they are already rushing us. Yes, it's true, it is complex.","Si, tenemos que llegar mas temprano, mira que ya nos están apurando. Si, es cierto, es complejo."
"06:40,000","06:47,000","Because it is already getting dark and we already have
we have to leave because of how sacred it is","Porque ya se está haciendo de noche y ya tenemos 
que irnos por lo sagrado que es"
"06:48,000","06:50,000",You are in Alewalü in the Alewalü Dunes,Estas en Alewalü en las Dunas de Alewalü
"06:51,000","06:54,000",Smile smile. Stretch your hands. That,"Sonríe, sonríe. Estira las manos. Eso"
"06:57,000","07:01,000","That, that raise your hands, aha say hello, say hello.","Eso, eso levanten las manos, aja saluda, saluda."
"07:02,000","07:03,000",Alewalu,Alewalü
